time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2022-07-26,22.4,15.2,0.4,Paris
2022-07-27,24.2,13.2,0.2,Paris
2022-07-28,26.4,13.7,0.5,Paris
2022-07-29,28.0,14.9,0.1,Paris
2022-07-30,30.0,16.9,0.1,Paris
2022-07-31,28.0,16.0,0.0,Paris
2022-08-01,26.2,17.6,0.5,Paris
2022-08-02,29.5,15.8,0.0,Paris
2022-08-03,33.8,18.0,0.0,Paris
2022-08-04,28.0,19.0,4.9,Paris
2022-08-05,25.4,15.9,2.3,Paris
2022-08-06,24.0,12.6,0.0,Paris
2022-08-07,26.3,13.7,0.0,Paris
2022-08-08,28.4,14.2,0.0,Paris
2022-08-09,30.4,16.0,0.0,Paris
2022-08-10,32.2,17.9,0.0,Paris
2022-08-11,31.9,17.6,0.0,Paris
2022-08-12,32.9,16.8,0.0,Paris
2022-08-13,32.0,17.0,0.0,Paris
2022-08-14,26.8,18.0,4.4,Paris
2022-08-15,25.2,17.1,6.7,Paris
2022-08-16,25.6,17.2,14.0,Paris
2022-08-17,24.7,16.6,9.4,Paris
2022-08-18,25.0,16.1,2.8,Paris
2022-08-19,23.8,16.0,2.9,Paris
2022-08-20,23.6,13.1,0.0,Paris
2022-08-21,26.6,13.4,0.1,Paris
2022-08-22,25.2,15.4,0.0,Paris
2022-08-23,28.1,17.0,0.4,Paris
2022-08-24,31.3,17.1,0.0,Paris
2022-08-25,30.8,17.8,0.3,Paris
2022-08-26,25.9,17.8,0.5,Paris
2022-08-27,25.2,14.8,0.0,Paris
2022-08-28,25.5,14.7,0.0,Paris
2022-08-29,28.2,16.3,0.0,Paris
2022-08-30,26.2,17.5,0.2,Paris
2022-08-31,27.0,15.1,0.0,Paris
2022-09-01,28.0,15.9,0.0,Paris
2022-09-02,22.9,17.1,3.6,Paris
2022-09-03,23.7,15.2,1.9,Paris
2022-09-04,28.4,14.4,0.0,Paris
2022-09-05,27.3,16.6,0.1,Paris
2022-09-06,27.5,14.7,13.8,Paris
2022-09-07,23.2,15.4,6.6,Paris
2022-09-08,22.8,14.5,3.7,Paris
2022-09-09,20.6,14.5,4.0,Paris
2022-09-10,20.3,13.5,1.7,Paris
2022-09-11,22.0,11.2,0.0,Paris
2022-09-12,26.5,12.1,0.0,Paris
2022-09-13,24.9,17.4,1.6,Paris
2022-09-14,24.0,17.2,17.5,Paris
2022-09-15,22.2,14.5,0.7,Paris
2022-09-16,18.1,10.4,0.7,Paris
2022-09-17,16.3,7.8,0.0,Paris
2022-09-18,19.1,6.6,0.0,Paris
2022-09-19,18.2,7.8,0.0,Paris
2022-09-20,17.1,5.9,0.0,Paris
2022-09-21,18.8,7.4,0.0,Paris
2022-09-22,19.9,6.7,0.0,Paris
2022-09-23,19.9,9.1,0.1,Paris
2022-09-24,18.0,11.1,3.3,Paris
2022-09-25,18.1,10.1,0.1,Paris
2022-09-26,15.1,10.9,6.7,Paris
2022-09-27,12.9,9.8,3.9,Paris
2022-09-28,14.7,7.6,1.6,Paris
2022-09-29,15.1,7.0,0.8,Paris
2022-09-30,18.2,4.6,1.1,Paris
2022-10-01,20.1,12.4,6.1,Paris
2022-10-02,19.4,9.1,6.3,Paris
2022-10-03,15.8,8.9,0.0,Paris
2022-10-04,20.0,6.1,0.0,Paris
2022-10-05,21.6,11.1,0.1,Paris
2022-10-06,17.9,9.2,0.0,Paris
2022-10-07,18.5,5.1,0.0,Paris
2022-10-08,17.4,8.0,0.0,Paris
2022-10-09,18.6,4.4,0.0,Paris
2022-10-10,18.7,9.9,25.1,Paris
2022-10-11,17.0,8.4,0.0,Paris
2022-10-12,19.0,5.8,0.0,Paris
2022-10-13,15.1,11.3,6.5,Paris
2022-10-14,16.5,13.9,5.6,Paris
2022-10-15,18.9,14.2,2.4,Paris
2022-10-16,19.5,12.7,0.4,Paris
2022-10-17,19.0,13.8,15.5,Paris
2022-10-18,19.8,13.9,1.3,Paris
2022-10-19,21.9,13.7,0.0,Paris
2022-10-20,21.5,15.4,5.2,Paris
2022-10-21,20.4,14.6,4.7,Paris
2022-10-22,20.5,12.7,0.0,Paris
2022-10-23,21.2,14.6,0.8,Paris
2022-10-24,18.1,13.1,0.5,Paris
2022-10-25,18.5,11.6,2.2,Paris
2022-10-26,21.6,14.8,1.9,Paris
2022-10-27,21.6,13.4,0.8,Paris
2022-10-28,23.0,15.3,0.0,Paris
2022-10-29,24.0,14.7,0.2,Paris
2022-10-30,18.4,11.4,0.2,Paris
2022-10-31,20.5,9.7,6.3,Paris
2022-11-01,16.8,10.4,0.3,Paris
2022-11-02,15.4,9.1,0.0,Paris
2022-11-03,15.2,9.1,3.3,Paris
2022-11-04,12.1,5.6,3.4,Paris
2022-11-05,11.8,4.9,0.1,Paris
2022-11-06,12.1,9.1,8.4,Paris
2022-11-07,16.1,11.0,0.1,Paris
2022-11-08,16.4,10.4,2.4,Paris
2022-11-09,14.9,8.4,0.7,Paris
2022-11-10,13.1,5.1,0.0,Paris
2022-11-11,12.1,5.1,0.0,Paris
2022-11-12,15.6,5.8,0.0,Paris
2022-11-13,13.5,6.5,0.0,Paris
2022-11-14,14.8,5.8,0.1,Paris
2022-11-15,13.2,8.1,6.9,Paris
2022-11-16,12.9,8.1,6.5,Paris
2022-11-17,13.6,9.1,1.2,Paris
2022-11-18,11.1,5.6,0.2,Paris
2022-11-19,10.7,4.1,0.4,Paris
2022-11-20,10.1,4.4,2.5,Paris
2022-11-21,9.1,5.0,4.9,Paris
2022-11-22,10.7,4.6,2.9,Paris
2022-11-23,11.6,4.4,3.8,Paris
2022-11-24,12.9,6.4,3.5,Paris
2022-11-25,12.0,5.8,2.7,Paris
2022-11-26,9.2,2.8,0.0,Paris
2022-11-27,9.4,6.0,8.6,Paris
2022-11-28,11.1,4.9,4.4,Paris
2022-11-29,7.7,3.8,0.7,Paris
2022-11-30,7.6,5.5,0.0,Paris
2022-12-01,6.2,3.2,0.0,Paris
2022-12-02,5.6,2.8,1.8,Paris
2022-12-03,4.6,2.7,0.0,Paris
2022-12-04,4.5,0.0,1.1,Paris
2022-12-05,2.8,1.1,2.2,Paris
2022-12-06,5.7,-0.7,0.0,Paris
2022-12-07,5.9,-0.6,0.0,Paris
2022-12-08,4.2,0.3,0.1,Paris
2022-12-09,2.2,-0.2,0.0,Paris
2022-12-10,3.0,-1.8,0.0,Paris
2022-12-11,0.6,-3.7,0.0,Paris
2022-12-12,0.3,-3.8,0.7,Paris
2022-12-13,1.5,-4.2,0.0,Paris
2022-12-14,0.5,-3.8,4.1,Paris
2022-12-15,1.4,-4.6,0.0,Paris
2022-12-16,3.0,-4.8,0.0,Paris
2022-12-17,0.4,-5.3,0.0,Paris
2022-12-18,4.4,-5.1,4.9,Paris
2022-12-19,11.1,4.8,5.1,Paris
2022-12-20,11.7,9.8,24.7,Paris
2022-12-21,11.9,7.2,18.5,Paris
2022-12-22,13.4,10.9,7.7,Paris
2022-12-23,14.4,10.8,6.8,Paris
2022-12-24,12.1,9.4,1.3,Paris
2022-12-25,13.1,9.6,5.5,Paris
2022-12-26,11.4,4.6,1.8,Paris
2022-12-27,8.6,3.0,0.1,Paris
2022-12-28,11.4,8.6,2.6,Paris
2022-12-29,11.6,6.3,1.0,Paris
2022-12-30,14.4,4.8,8.4,Paris
2022-12-31,16.0,14.4,0.0,Paris
2022-01-01,13.7,9.8,0.0,Lille
2022-01-02,13.4,9.9,3.6,Lille
2022-01-03,9.9,8.1,7.5,Lille
2022-01-04,8.4,4.0,10.6,Lille
2022-01-05,6.6,0.9,0.0,Lille
2022-01-06,5.7,0.7,0.6,Lille
2022-01-07,5.7,2.1,6.4,Lille
2022-01-08,7.8,0.6,10.6,Lille
2022-01-09,6.7,-1.5,0.5,Lille
2022-01-10,2.5,-2.4,0.0,Lille
2022-01-11,4.3,-1.1,0.0,Lille
2022-01-12,6.9,-0.5,0.2,Lille
2022-01-13,3.7,-1.2,0.0,Lille
2022-01-14,3.7,-1.9,0.0,Lille
2022-01-15,5.3,-0.7,0.0,Lille
2022-01-16,6.9,0.6,1.2,Lille
2022-01-17,7.3,-0.4,0.0,Lille
2022-01-18,7.1,-0.2,0.2,Lille
2022-01-19,7.7,-0.2,0.7,Lille
2022-01-20,5.9,2.1,1.6,Lille
2022-01-21,6.2,2.1,0.3,Lille
2022-01-22,5.8,3.3,0.0,Lille
2022-01-23,5.3,3.6,0.0,Lille
2022-01-24,6.4,-2.0,0.0,Lille
2022-01-25,2.6,-3.2,0.0,Lille
2022-01-26,5.6,1.8,0.0,Lille
2022-01-27,9.4,3.6,0.2,Lille
2022-01-28,7.8,0.9,0.0,Lille
2022-01-29,11.3,6.6,0.3,Lille
2022-01-30,6.8,0.9,0.0,Lille
2022-01-31,7.7,3.8,2.1,Lille
2022-02-01,11.1,1.4,0.4,Lille
2022-02-02,10.7,7.5,0.1,Lille
2022-02-03,7.5,5.4,0.0,Lille
2022-02-04,9.2,3.8,1.2,Lille
2022-02-05,9.1,1.5,0.1,Lille
2022-02-06,10.8,6.4,9.1,Lille
2022-02-07,8.2,2.3,0.0,Lille
2022-02-08,11.6,8.1,0.6,Lille
2022-02-09,10.4,4.8,0.0,Lille
2022-02-10,7.9,3.0,3.5,Lille
